station_european_code,station_local_code,country_iso_code,country_name,station_name,station_start_date,station_end_date,type_of_station,station_ozone_classification,station_type_of_area,station_subcat_rural_back,station_longitude_deg,station_latitude_deg,station_altitude,station_city,lau_level1_code,lau_level1_name,lau_level2_code
RO0122A,RO-BV-5,RO,Romania,BV-5,01.01.2008,,Industrial,urban,urban,Unknown,25.625565,45.651608,579,BRASOV,no,,
RO0123A,RO-BZ-1,RO,Romania,BZ-1,01.01.2008,,Background,urban,urban,Unknown,26.819145,45.153606,98,BUZAU,no,,
RO0073A,CLU1,RO,Romania,CJ-1,19.07.2005,,Traffic,urban,Wide,street: LH > 1.5,23.61557,46.778332,349,CLUJ-NAPOCA,no,,
RO0074A,CLU2,RO,Romania,CJ-2,19.07.2005,,Background,urban,,,23.596678,46.775002,333,CLUJ,no,,
RO0075A,CLU3,RO,Romania,CJ-3,19.07.2005,,Background,urban,,,23.550278,46.765278,350,CLUJ,no,,
RO0076A,CLU4,RO,Romania,CJ-4,19.07.2005,,Industrial,urban,Canyon,street: LH > 1.5,23.630569,46.782223,343,CLUJ-NAPOCA,no,,
RO0077A,CLU5,RO,Romania,CJ-5,19.07.2005,,Background,urban,Highway:,average,23.877501,47.153889,279,DEJ,no,,
RO0125A,RO-CL-1,RO,Romania,CL-1,01.01.2010,,Traffic,urban,Wide,street: LH > 1.5,27.316387,44.204723,13,CALARASI,no,,
RO0126A,RO-CL-2,RO,Romania,CL-2,01.01.2010,,Background,urban,,,27.327959,44.201763,12,CALARASI,92569,Municipiul Clrai,no
RO0041A,MS-MS1,RO,Romania,CNAR Directia Apelor Mures,01.01.1989,31.12.2007,Background,urban,,,24.5625,46.540554,309,TG. MURES,no,,
RO0018A,IS-IS2,RO,Romania,CONEL,01.01.1989,31.12.2005,Traffic,urban,Wide,street: LH > 1.5,27.571949,47.165001,44,IASI,95060,Municipiul Iai,no
RO0127A,RO-CS-1,RO,Romania,CS-1,01.01.2008,,Industrial,urban,urban,Unknown,21.872139,45.299332,259,RESITA,no,,
RO0128A,RO-CS-2,RO,Romania,CS-2,01.01.2008,,Industrial,urban,urban,Unknown,22.352751,45.518608,283,OTELU ROSU,no,,
RO0129A,RO-CS-3,RO,Romania,CS-3,01.01.2010,,Traffic,urban,Wide,street: LH > 1.5,21.633366,44.723309,25,MOLDOVA NOUA,51056,Ora Moldova Nou,no
RO0130A,RO-CS-4,RO,Romania,CS-4,01.01.2010,,Traffic,rural,Unknown,,22.24314,45.36314,230,BUCHIN,51699,Buchin,no
RO0131A,RO-CT-1,RO,Romania,CT-1,01.01.2008,,Traffic,urban,Canyon,street: LH > 1.5,28.636391,44.177952,20,CONSTANTA,no,,
RO0132A,RO-CT-2,RO,Romania,CT-2,01.01.2008,,Background,urban,urban,Unknown,28.649444,44.176388,36,CONSTANTA,no,,
RO0133A,RO-CT-3,RO,Romania,CT-3,01.01.2008,,Background,suburban,suburban,Unknown,28.623131,44.312351,20,NAVODARI,no,,
RO0134A,RO-CT-4,RO,Romania,CT-4,01.01.2008,,Traffic,urban,Unknown,,28.582516,43.815163,15,MANGALIA,no,,
RO0135A,RO-CT-5,RO,Romania,CT-5,01.01.2008,,Industrial,urban,urban,Unknown,28.623802,44.14941,20,CONSTANTA,no,,
RO0136A,RO-CT-6,RO,Romania,CT-6,01.01.2008,,Industrial,urban,urban,Unknown,28.610256,44.319626,20,NAVODARI,no,,
RO0137A,RO-CT-7,RO,Romania,CT-7,01.01.2008,,Industrial,urban,urban,Unknown,28.26123,44.248325,60,MEDGIDIA,no,,
RO0138A,RO-CV-1,RO,Romania,CV-1,01.01.2008,,Background,rural,background,rural,25.804455,45.875118,523,SFANTU GHEORGHE,no,,
RO0052A,PH-PL3,RO,Romania,Cart. Corlatesti,01.01.1998,31.12.2007,Background,suburban,,,26.008888,44.921096,47,PLOIESTI,no,,
RO0060A,CL-CL1,RO,Romania,Chiciu,01.01.2003,31.12.2008,Background,rural,background,rural,27.27501,44.14028,12,CALARASI,no,,
RO0009A,CS-r3,RO,Romania,Combinatul Siderurgic Resita,01.01.1990,31.12.2007,Background,urban,,,21.887222,45.315277,260,RESITA,no,,
RO0063A,TR-T2,RO,Romania,Criburi,01.01.2003,31.12.2007,Industrial,urban,urban,,24.886114,43.713889,20,TURNU MAGURELE,no,,
RO0139A,RO-DB-1,RO,Romania,DB-1,01.01.2008,,Industrial,urban,urban,Unknown,25.478067,44.916218,261,TARGOVISTE,no,,
RO0140A,RO-DB-2,RO,Romania,DB-2,01.01.2008,,Industrial,urban,urban,Unknown,25.421743,45.131382,464,FIENI,no,,
RO0059A,GR-GR2,RO,Romania,DGFP,01.01.2003,31.12.2008,Industrial,urban,urban,,25.968912,43.895557,25,GIURGIU,no,,
RO0078A,CRA1,RO,Romania,DJ-1,01.01.2006,,Traffic,urban,Wide,street: LH > 1.5,23.806116,44.318611,118,CRAIOVA,no,,
RO0079A,CRA2,RO,Romania,DJ-2,01.01.2006,,Background,urban,,,23.796677,44.319164,120,CRAIOVA,no,,
RO0080A,CRA3,RO,Romania,DJ-3,01.01.2006,,Traffic,urban,Wide,street: LH > 1.5,23.778622,44.326664,83,CRAIOVA,no,,
RO0081A,CRA4,RO,Romania,DJ-4,01.01.2006,,Industrial,suburban,,,23.733614,44.386669,98,ISALNITA,no,,
RO0082A,CRA5,RO,Romania,DJ-5,01.01.2006,,Background,suburban,,,23.719622,44.34223,128,BREASTA,no,,
RO0061A,CL-CL2,RO,Romania,DSV,01.01.2003,31.12.2008,Background,urban,urban,,27.33389,44.20694,18,CALARASI,no,,
RO0017A,IS-IS1,RO,Romania,Depoul C.F.R.,01.01.1989,31.12.2005,Background,urban,,,27.583071,47.133335,12,IASI,95060,Municipiul Iai,no
RO0010R,RO-EM-1,RO,Romania,EM-1 (Fundata-BV),01.01.2011,,Background,rural,,,25.3,45.467,1380,FUNDATA,no,,
RO0009R,RO-EM-2,RO,Romania,EM-2 (Semenic),01.01.2011,,Background,rural,,,22.05575,45.181472,1435,VALIUG,no,,
RO0008R,RO-EM-3,RO,Romania,EM-3,01.01.2008,,Background,rural,remote,,25.134665,47.324791,908,POIANA STAMPEI,no,,
RO0150A,RO-GJ-1,RO,Romania,GJ-1,01.01.2008,,Industrial,urban,urban,Unknown,23.275267,45.051628,203,TARGU JIU,no,,
RO0151A,RO-GJ-2,RO,Romania,GJ-2,01.01.2008,,Industrial,urban,urban,Unknown,23.171091,44.899094,167,ROVINARI,no,,
RO0152A,RO-GJ-3,RO,Romania,GJ-3,01.01.2010,,Industrial,urban,,,23.375156,44.68211,123,TURCENI,82617,Ora Turceni,no
RO0141A,RO-GL-1,RO,Romania,GL-1,01.01.2008,,Traffic,urban,Wide,street: LH > 1.5,28.01785,45.41881,87,GALATI,no,,
RO0142A,RO-GL-2,RO,Romania,GL-2,01.01.2008,,Background,urban,urban,Unknown,28.054741,45.431538,10,GALATI,no,,
RO0143A,RO-GL-3,RO,Romania,GL-3,01.01.2008,,Background,suburban,suburban,Unknown,28.03394,45.47295,67,GALATI,no,,
RO0144A,RO-GL-4,RO,Romania,GL-4,01.01.2008,,Industrial,urban,urban,Unknown,28.00639,45.41119,86,GALATI,no,,
RO0145A,RO-GL-5,RO,Romania,GL-5,01.01.2008,,Industrial,urban,urban,Unknown,27.44015,45.81849,50,GALATI,no,,
RO0207A,RO-GR-1,RO,Romania,GR-1,01.01.2010,,Traffic,urban,Wide,street: LH > 1.5,25.974134,43.912903,23,GIURGIU,100521,Municipiul Giurgiu,
RO0208A,RO-GR-2,RO,Romania,GR-2,27.10.2010,,Background,urban,,,25.956497,43.895522,12,GIURGIU,no,,
RO0209A,RO-GR-3,RO,Romania,GR-3,01.01.2010,,Industrial,urban,,,25.93178,43.875435,23,GIURGIU,100521,Municipiul Giurgiu,no
RO0210A,RO-GR-4,RO,Romania,GR-4,01.01.2010,,Background,rural,,,26.038738,43.963814,20,OINACU,104519,Oinacu,no
RO0154A,RO-HD-1,RO,Romania,HD-1,01.01.2008,,Industrial,urban,urban,Unknown,22.908752,45.871384,187,DEVA,no,,
RO0155A,RO-HD-2,RO,Romania,HD-2,01.01.2008,,Industrial,urban,urban,Unknown,22.899347,45.895504,187,DEVA,no,,
RO0156A,RO-HD-3,RO,Romania,HD-3,01.01.2008,,Industrial,urban,urban,Unknown,22.916805,45.776814,255,HUNEDOARA,no,,
RO0157A,RO-HD-4,RO,Romania,HD-4,01.01.2008,,Industrial,urban,Unknown,,22.991819,45.734566,230,CALAN,no,,
RO0158A,RO-HD-5,RO,Romania,HD-5,06.02.2009,,Industrial,urban,,,23.2786,45.37313,618,VULCAN,no,,
RO0153A,RO-HR-1,RO,Romania,HR-1,01.01.2008,,Background,rural,background,rural,25.811356,46.326618,710,MIERCUREA CIUC,no,,
RO0159A,RO-IL-1,RO,Romania,IL-1,01.01.2008,,Industrial,urban,urban,Unknown,27.365925,44.564911,22,SLOBOZIA,no,,
RO0160A,RO-IL-2,RO,Romania,IL-2,01.01.2008,,Industrial,urban,urban,Unknown,26.652672,44.716969,60,URZICENI,no,,
RO0083A,IAS1,RO,Romania,IS-1,18.11.2005,,Traffic,urban,Wide,street:,27.574722,47.156667,50,IASI,no,,
RO0084A,IAS2,RO,Romania,IS-2,18.11.2005,,Background,urban,,,27.583614,47.151112,44,IASI,no,,
RO0085A,IAS3,RO,Romania,IS-3,18.11.2005,,Industrial,urban,,,27.614458,47.158058,79,IASI,no,,
RO0086A,IAS4,RO,Romania,IS-4,18.11.2005,,Background,rural,background,rural,27.545277,47.198891,165,IASI,no,,
RO0087A,IAS5,RO,Romania,IS-5,18.11.2005,,Background,suburban,,,27.693067,47.13716,49,TOMESTI,no,,
RO0211A,IAS6,RO,Romania,IS-6,01.01.2010,,Background,urban,,,27.768663,47.215611,25,UNGHENI,no,,
RO0013A,RO_GL6,RO,Romania,Laborator APM,01.01.1998,31.12.2010,Traffic,urban,Wide,street: LH > 1.5,28.025008,45.425,20,GALATI,no,,
RO0166A,RO-MH-1,RO,Romania,MH-1,01.01.2008,,Industrial,urban,urban,Unknown,22.694174,44.627495,69,DROBETA TURNU SEVERIN,no,,
RO0161A,RO-MM-1,RO,Romania,MM-1,01.01.2008,,Traffic,urban,Canyon,street: LH > 1.5,23.554808,47.652035,211,BAIA MARE,no,,
RO0162A,RO-MM-2,RO,Romania,MM-2,01.01.2008,,Background,urban,urban,Unknown,23.57049,47.65199,223,"BAIA MARE				no",,,
RO0163A,RO-MM-3,RO,Romania,MM-3,01.01.2008,,Background,suburban,suburban,Unknown,23.605289,47.751308,354,ZONA FIRIZA,no,,
RO0164A,RO-MM-4,RO,Romania,MM-4,01.01.2008,,Industrial,urban,urban,Unknown,23.614182,47.670994,259,BAIA MARE,no,,
RO0165A,RO-MM-5,RO,Romania,MM-5,01.01.2008,,Industrial,urban,urban,Unknown,23.62831,47.70441,290,ZONA FERNEZIU,no,,
RO0167A,RO-MS-1,RO,Romania,MS-1,01.01.2008,,Background,urban,urban,Unknown,24.559658,46.541046,328,"TARGU MURES	",no,,
RO0168A,RO-MS-2,RO,Romania,MS-2,01.01.2008,,Industrial,urban,urban,Unknown,24.533613,46.533356,308,"TARGU MURES	",no,,
RO0169A,RO-MS-3,RO,Romania,MS-3,01.01.2010,,Industrial,urban,,,24.101402,46.477505,279,LUDUS,114710,Ora Ludu,no
RO0170A,RO-MS-4,RO,Romania,MS-4,01.01.2010,,Industrial,urban,,,24.308413,46.334091,300,TARNAVENI,114925,Municipiul Târnveni,no
RO0038A,SB-CM2,RO,Romania,Micasasa nr. 119,01.01.1989,31.12.2007,Background,rural,,,24.066668,46.083332,300,,no,,
RO0010A,CS-R4,RO,Romania,Mociur-Uzina Constr. Masini Resita,01.01.1998,31.12.2007,Industrial,urban,,,21.882247,45.302294,219,RESITA,no,,
RO0057A,CS-R5,RO,Romania,Moldomobila,01.01.1998,31.12.2005,Traffic,urban,Wide,street: LH > 1.5,27.606117,47.14389,43,IASI,95060,Municipiul Iai,no
RO0171A,RO-NT-1,RO,Romania,NT-1,01.01.2008,,Background,urban,urban,Unknown,26.390005,46.929996,360,PIATRA NEAMT,no,,
RO0172A,RO-NT-2,RO,Romania,NT-2,01.01.2008,,Industrial,urban,urban,Unknown,26.920002,46.950283,206,ROMAN,no,,
RO0173A,RO-NT-3,RO,Romania,NT-3,01.01.2009,,Industrial,urban,,,26.034065,46.898746,400,TASCA,124563,Taca,no
RO0003A,MM-BM16,RO,Romania,Nr. 16 St. electrica,01.01.1998,31.12.2007,Industrial,urban,,,23.60639,47.661667,239,BAIA MARE,no,,
RO0002A,MM-BM4,RO,Romania,Nr. 4 Nod de presiune,01.01.1998,31.12.2008,Industrial,urban,,,23.617789,47.675833,228,BAIA MARE,no,,
RO0004A,MM-BM19,RO,Romania,Nr.19 SIL Tautii de Sus,01.01.1998,31.12.2007,Background,suburban,,,23.620556,47.655556,258,BAIA MARE,no,,
RO0005A,MM-BM23,RO,Romania,Nr.23 Fabrica de paine,01.01.1998,31.12.2007,Background,urban,,,23.590834,47.650558,241,BAIA MARE,no,,
RO0006A,MM-BM29,RO,Romania,Nr.29 Agrochimie,01.01.1989,31.12.2007,Background,urban,,,23.61861,47.657501,228,BAIA MARE,no,,
RO0007A,MM-BM31,RO,Romania,Nr.31 Sediu APM,01.01.1998,31.12.2007,Background,urban,,,23.552221,47.661945,208,BAIA MARE,no,,
RO0054A,MM-BM36,RO,Romania,Nr.36 EGA Baia Mare,01.01.1998,31.12.2005,Background,urban,,,23.575565,47.655003,226,BAIA MARE,no,,
RO0174A,RO-OT-1,RO,Romania,OT-1,01.01.2008,,Industrial,urban,urban,Unknown,24.351112,44.429447,169,SLATINA,no,,
RO0039A,SB-CM3,RO,Romania,Observator,01.01.1989,31.12.2007,Industrial,urban,,,24.408333,46.137501,297,COPSA MICA,no,,
RO0175A,RO-PH-1,RO,Romania,PH-1,01.01.2008,,Traffic,urban,Wide,street: LH > 1.5,25.998533,44.941032,160,PLOIESTI,no,,
RO0176A,RO-PH-2,RO,Romania,PH-2,01.01.2008,,Background,urban,urban,Unknown,26.025902,44.939201,160,PLOIESTI,no,,
RO0177A,RO-PH-3,RO,Romania,PH-3,01.01.2008,,Background,suburban,suburban,Unknown,26.018019,44.984646,150,BLEJOI,no,,
RO0178A,RO-PH-4,RO,Romania,PH-4,01.01.2008,,Industrial,suburban,suburban,Unknown,26.025917,44.850227,140,"BRAZI, SAT BRAZII DE JOS",no,,
RO0179A,RO-PH-5,RO,Romania,PH-5,01.01.2008,,Traffic,urban,Wide,street:,26.036814,44.92292,160,PLOIESTI,no,,
RO0180A,RO-PH-6,RO,Romania,PH-6,01.01.2008,,Industrial,urban,urban,Unknown,26.048607,44.943607,160,PLOIESTI,no,,
RO0036A,SB-MD3,RO,Romania,Policlinica,01.01.1989,31.12.2007,Background,urban,,,24.352777,46.163891,228,MEDIAS,no,,
RO0062A,TR-T1,RO,Romania,Primaria Turnu Magurele,01.01.2003,31.12.2007,Background,urban,urban,,24.870836,43.747222,28,"TURNU MAGURELE	",no,,
RO0064A,TR-Z1,RO,Romania,Primaria Zimnicea,01.01.2003,31.12.2007,Background,urban,urban,,25.370836,43.655556,31,ZIMNICEA,no,,
RO0020A,IS-IS4,RO,Romania,S.C. Bucium S.A.,01.01.1989,31.12.2005,Traffic,urban,Wide,street: LH > 1.5,27.613903,47.12611,48,IASI,95060,Municipiul Iai,no
RO0019A,IS-IS3,RO,Romania,S.C. Niciman S.A.,01.01.1998,31.12.2005,Industrial,urban,,,27.561954,47.175003,44,IASI,95060,Municipiul Iai,no
RO0184A,RO-SB-1,RO,Romania,SB-1,01.01.2008,,Background,urban,urban,Unknown,24.153469,45.785114,445,SIBIU,no,,
RO0185A,RO-SB-2,RO,Romania,SB-2,01.01.2008,,Industrial,urban,urban,Unknown,24.184441,45.797497,415,SIBIU,no,,
RO0186A,RO-SB-3,RO,Romania,SB-3,01.01.2008,,Industrial,urban,urban,Unknown,24.229443,46.113052,285,COPSA MICA,no,,
RO0187A,RO-SB-4,RO,Romania,SB-4,01.01.2008,,Industrial,urban,urban,Unknown,24.339998,46.15889,320,MEDIAS,no,,
RO0043A,MS-MS3,RO,Romania,SC FORAJ SONDE SA Targu Mures,01.01.1989,31.12.2007,Background,urban,,,24.5425,46.543331,309,TG. MURES,no,,
RO0181A,RO-SJ-1,RO,Romania,SJ-1,01.01.2008,,Industrial,urban,urban,Unknown,23.046906,47.195065,275,ZALAU,no,,
RO0182A,RO-SM-1,RO,Romania,SM-1,01.01.2008,,Background,urban,urban,Unknown,22.877022,47.799683,123,SATU MARE,no,,
RO0183A,RO-SM-2,RO,Romania,SM-2,01.01.2010,,Traffic,suburban,Unknown,,22.459068,47.689758,160,CAREI,136526,Municipiul Carei,no
RO0188A,RO-SV-1,RO,Romania,SV-1,01.01.2008,,Background,urban,urban,Unknown,26.24905,47.649185,385,SUCEAVA,no,,
RO0189A,RO-SV-2,RO,Romania,SV-2,01.01.2008,,Industrial,urban,urban,Unknown,26.283331,47.669666,350,SUCEAVA,no,,
RO0190A,RO-SV-3,RO,Romania,SV-3,01.01.2010,,Traffic,urban,Unknown,,26.068127,47.953182,500,SIRET,146655,Oras Siret,no
RO0014A,PH-PL1,RO,Romania,Sediu APM,01.01.1998,31.12.2008,Traffic,urban,Wide,street: LH > 1.5,26.010564,44.940556,47,PLOIESTI,no,,
RO0034A,SB-MD1,RO,Romania,Sediu APM Medias,01.01.1989,31.12.2007,Background,urban,,,24.336111,46.175003,312,MEDIAS,no,,
RO0001A,SB-SB1,RO,Romania,Sediu APM Sibiu,01.01.1988,31.12.2007,Background,urban,,,24.172222,45.772221,448,SIBIU,no,,
RO0042A,MS-MS2,RO,Romania,Sediul APM Targu Mures,01.01.1989,31.12.2007,Background,urban,,,24.550278,46.553055,308,TG. MURES,no,,
RO0040A,SB-CM4,RO,Romania,Spital,01.01.1989,31.12.2007,Background,urban,,,24.223612,46.116665,295,COPSA MICA,no,,
RO0200A,RO-TL-1,RO,Romania,TL-1,01.01.2008,,Traffic,urban,Wide,street: LH > 1.5,28.787367,45.180481,6,TULCEA,no,,
RO0201A,RO-TL-2,RO,Romania,TL-2,01.01.2008,,Industrial,urban,urban,Unknown,28.774727,45.176094,30,TULCEA,no,,
RO0202A,RO-TL-3,RO,Romania,TL-3,01.01.2010,,Traffic,suburban,Unknown,,28.424402,45.27108,27,ISACCEA,159687,Ora Isaccea,no
RO0193A,RO-TM-1,RO,Romania,TM-1,29.01.2008,,Traffic,urban,Highway:,,21.355139,45.728092,89,TIMISOARA,no,,
RO0194A,RO-TM-2,RO,Romania,TM-2,29.01.2008,,Background,urban,urban,Unknown,21.227453,45.755493,89,TIMISOARA,no,,
RO0195A,RO-TM-3,RO,Romania,TM-3,29.01.2008,,Background,suburban,suburban,Unknown,21.151775,45.913494,119,COMUNA SINANDREI,no,,
RO0196A,RO-TM-4,RO,Romania,TM-4,29.01.2008,,Industrial,urban,urban,Unknown,21.250942,45.736702,89,TIMISOARA,no,,
RO0197A,RO-TM-5,RO,Romania,TM-5,29.01.2008,,Traffic,urban,Highway:,average,21.220881,45.776657,89,TIMISOARA,no,,
RO0198A,RO-TM-6,RO,Romania,TM-6,01.01.2011,,Background,suburban,,,21.266975,45.257939,80,MORAVITA,no,,
RO0199A,RO-TM-7,RO,Romania,TM-7,01.01.2010,,Industrial,urban,Unknown,,21.893414,45.694717,124,LUGOJ,155350,Municipiul Lugoj,no
RO0191A,RO-TR-1,RO,Romania,TR-1,01.01.2010,,Background,urban,,,25.312403,43.980331,41,ALEXANDRIA,151790,Municipiul Alexandria,no
RO0192A,RO-TR-2,RO,Romania,TR-2,01.01.2010,,Industrial,urban,,,24.9018,43.757984,31,TURNU MAGURELE,151683,Municipiul Turnu Mgurele,no
RO0037A,SB-CM1,RO,Romania,Tirnava Scoala,01.01.1989,01.01.2004,Background,rural,,,24.223618,46.129166,295,TIRNAVA,no,,
RO0016A,PH-PL4,RO,Romania,UBEMAR,01.01.1998,31.12.2002,Industrial,urban,,,26.08667,44.943611,47,PLOIESTI,no,,
RO0053A,PH-PL5,RO,Romania,Unit. nr. 2 Pompieri,01.01.1998,31.12.2008,Industrial,urban,,,26.013067,44.915556,47,PLOIESTI,no,,
RO0203A,RO-VL-1,RO,Romania,VL-1,01.01.2008,,Background,urban,urban,Unknown,24.36979,45.08273,300,RAMNICU VALCEA,no,,
RO0204A,RO-VL-2,RO,Romania,VL-2,01.01.2008,,Industrial,urban,urban,Unknown,24.298624,45.038834,300,RAMNICU VALCEA,no,,
RO0206A,RO-VN-1,RO,Romania,VN-1,01.01.2008,,Background,rural,Unknown,,27.211592,45.696625,52,FOCSANI,no,,
RO0205A,RO-VS-1,RO,Romania,VS-1,01.01.2008,,Background,urban,urban,Unknown,27.730886,46.632141,110,VASLUI,no,,
RO0212A,RO-VS-2,RO,Romania,VS-2,01.01.2011,,Background,urban,,,28.1011,46.677389,85,HUSI,no,,
RO0035A,SB-MD2,RO,Romania,Vitrometan,01.01.1989,01.01.2004,Industrial,urban,,,24.333334,46.154167,315,MEDIAS,no,,
